Listening to port 4567
Radar NIS = 2.32495
Laser NIS = 2.52909
Radar NIS = 3.29947
Laser NIS = 0.24762
Radar NIS = 3.83555
Laser NIS = 1.91391
Radar NIS = 1.69419
Laser NIS = 0.580892
Radar NIS = 0.633773
Laser NIS = 1.93487
Radar NIS = 1.63663
Laser NIS = 1.86039
Radar NIS = 1.75799
Laser NIS = 0.98782
Radar NIS = 4.00949
Laser NIS = 0.0215347
Radar NIS = 0.472413
Laser NIS = 1.32545
Radar NIS = 0.357066
Laser NIS = 0.507283
Radar NIS = 3.58299
Laser NIS = 1.35308
Radar NIS = 0.0930505
Laser NIS = 5.38247
Radar NIS = 1.3229
Laser NIS = 3.93846
Radar NIS = 5.60445
Laser NIS = 1.60801
Radar NIS = 5.78208
Laser NIS = 1.59063
Radar NIS = 3.36976
Laser NIS = 1.91381
Radar NIS = 4.98268
Laser NIS = 2.264
Radar NIS = 3.21194
Laser NIS = 0.861482
Radar NIS = 2.67554
Laser NIS = 0.778873
Radar NIS = 3.11772
Laser NIS = 0.218372
Radar NIS = 0.81233
Laser NIS = 3.19742
Radar NIS = 0.366674
Laser NIS = 1.36936
Radar NIS = 4.47382
Laser NIS = 4.32845
Radar NIS = 0.461942
Laser NIS = 0.704507
Radar NIS = 0.441997
Laser NIS = 1.28154
Radar NIS = 1.98848
Laser NIS = 0.200345
Radar NIS = 3.24529
Laser NIS = 1.98915
Radar NIS = 0.27276
Laser NIS = 0.0899676
Radar NIS = 5.27333
Laser NIS = 3.80368
Radar NIS = 1.19024
Laser NIS = 0.828984
Radar NIS = 7.15756
Laser NIS = 0.642384
Radar NIS = 0.781924
Laser NIS = 3.79497
Radar NIS = 1.48464
Laser NIS = 3.43946
Radar NIS = 1.30703
Laser NIS = 3.50115
Radar NIS = 1.58499
Laser NIS = 2.71013
Radar NIS = 1.10167
Laser NIS = 0.237345
Radar NIS = 2.91732
Laser NIS = 1.40091
Radar NIS = 1.25175
Laser NIS = 4.08898
Radar NIS = 2.68402
Laser NIS = 1.40745
Radar NIS = 2.88179
Laser NIS = 1.82278
Radar NIS = 2.88852
Laser NIS = 0.961998
Radar NIS = 0.414196
Laser NIS = 1.69391
Radar NIS = 4.55045
Laser NIS = 5.34264
Radar NIS = 2.18877
Laser NIS = 2.04982
Radar NIS = 2.21192
Laser NIS = 0.481523
Radar NIS = 4.83075
Laser NIS = 1.43191
Radar NIS = 8.23875
Laser NIS = 0.508067
Radar NIS = 1.65313
Laser NIS = 0.156008
Radar NIS = 0.417526
Laser NIS = 2.23554
Radar NIS = 1.75689
Laser NIS = 0.264996
Radar NIS = 3.86293
Laser NIS = 3.12452
Radar NIS = 0.899613
Laser NIS = 0.885864
Radar NIS = 4.78901
Laser NIS = 15.0139
Radar NIS = 1.50839
Laser NIS = 0.888061
Radar NIS = 2.58089
Laser NIS = 1.06949
Radar NIS = 1.98156
Laser NIS = 1.13809
Radar NIS = 5.89055
Laser NIS = 0.0651861
Radar NIS = 2.44859
Laser NIS = 1.52181
Radar NIS = 0.702813
Laser NIS = 6.02748
Radar NIS = 2.60335
Laser NIS = 2.08276
Radar NIS = 2.52973
Laser NIS = 0.809255
Radar NIS = 0.859498
Laser NIS = 2.41011
Radar NIS = 1.98315
Laser NIS = 2.80847
Radar NIS = 3.45807
Laser NIS = 5.36319
Radar NIS = 0.310119
Laser NIS = 2.85199
Radar NIS = 1.81093
Laser NIS = 0.405092
Radar NIS = 1.07163
Laser NIS = 0.588755
Radar NIS = 5.66598
Laser NIS = 0.494903
Radar NIS = 0.155758
Laser NIS = 0.640707
Radar NIS = 11.563
Laser NIS = 1.75797
Radar NIS = 2.4341
Laser NIS = 4.00338
Radar NIS = 0.0201813
Laser NIS = 1.33763
Radar NIS = 2.28546
Laser NIS = 6.00733
Radar NIS = 1.45464
Laser NIS = 1.07625
Radar NIS = 1.88847
Laser NIS = 1.18186
Radar NIS = 1.77655
Laser NIS = 0.000729249
Radar NIS = 5.13075
Laser NIS = 0.702959
Radar NIS = 2.33486
Laser NIS = 2.60327
Radar NIS = 2.73878
Laser NIS = 1.39533
Radar NIS = 1.80562
Laser NIS = 2.59673
Radar NIS = 6.02782
Laser NIS = 0.297424
Radar NIS = 8.27655
Laser NIS = 0.624693
Radar NIS = 0.66027
Laser NIS = 0.880395
Radar NIS = 0.394361
Laser NIS = 0.12506
Radar NIS = 3.14949
Laser NIS = 1.4107
Radar NIS = 2.09471
Laser NIS = 0.317184
Radar NIS = 1.1057
Laser NIS = 3.67292
Radar NIS = 0.567164
Laser NIS = 2.12663
Radar NIS = 9.09288
Laser NIS = 0.395247
Radar NIS = 2.3144
Laser NIS = 1.00236
Radar NIS = 0.796862
Laser NIS = 1.16753
Radar NIS = 2.9655
Laser NIS = 0.0141287
Radar NIS = 4.60713
Laser NIS = 0.0598187
Radar NIS = 1.1957
Laser NIS = 4.23147
Radar NIS = 5.57424
